Percentile,Salary_KRW
Top 0.1%,960003837
Top 0.2%,421024362
Top 0.3%,332874544
Top 0.4%,287540763
Top 0.5%,257636791
Top 0.6%,237248226
Top 0.7%,221590255
Top 0.8%,209615385
Top 0.9%,200417206
Top 1.0%,192878381
Top 2%,167394807
Top 3%,141716741
Top 4%,126654262
Top 5%,115936928
Top 6%,107500851
Top 7%,101068472
Top 8%,96109283
Top 9%,91907847
Top 10%,88173430
Top 11%,84832296
Top 12%,81821190
Top 13%,78996461
Top 14%,76358849
Top 15%,73863794
Top 16%,71537775
Top 17%,69348078
Top 18%,67246779
Top 19%,65253067
Top 20%,63362619
Top 21%,61587930
Top 22%,59992231
Top 23%,58475844
Top 24%,57000427
Top 25%,55560564
Top 26%,54181813
Top 27%,52845489
Top 28%,51552834
Top 29%,50314595
Top 30%,49134628
Top 31%,48038576
Top 32%,46993123
Top 33%,45948888
Top 34%,44956407
Top 35%,43987685
Top 36%,43053764
Top 37%,42167253
Top 38%,41335207
Top 39%,40501048
Top 40%,39702765
Top 41%,38924430
Top 42%,38173247
Top 43%,37435379
Top 44%,36727060
Top 45%,36080432
Top 46%,35498892
Top 47%,34850999
Top 48%,34219726
Top 49%,33618036
Top 50%,33020818
Top 51%,32424396
Top 52%,31838367
Top 53%,31258422
Top 54%,30694603
Top 55%,30136388
Top 56%,29691689
Top 57%,29119230
Top 58%,28608013
Top 59%,28061653
Top 60%,27567835
Top 61%,27061413
Top 62%,26544794
Top 63%,26090772
Top 64%,25577637
Top 65%,25169406
Top 66%,24740795
Top 67%,24312063
Top 68%,24084154
Top 69%,23808519
Top 70%,23133770
Top 71%,22511665
Top 72%,21823117
Top 73%,21127267
Top 74%,20339723
Top 75%,19560526
Top 76%,18748621
Top 77%,17991780
Top 78%,17190033
Top 79%,16338804
Top 80%,15504285
Top 81%,14692934
Top 82%,13870958
Top 83%,12968354
Top 84%,12184326
Top 85%,11536433
Top 86%,10633839
Top 87%,9809037
Top 88%,8998571
Top 89%,8178474
Top 90%,7404494
Top 91%,6713440
Top 92%,5968167
Top 93%,5166841
Top 94%,4394261
Top 95%,3712300
Top 96%,2956523
Top 97%,2258754
Top 98%,1630995
Top 99%,910216
Top 100%,216763
